symbol,bid_size,bid,ask,ask_size,last,change,open,high,low,previous_close,turnover,volume,operations,datetime,expiration,strike,kind,underlying_asset
GFGC2500MA,6.0,135.0,170.0,4.0,160.0,,160.0,160.0,160.0,160.0,128000.0,8.0,1.0,2024-02-22 12:02:24,2024-03-15,2500.0,CALL,GGAL
GFGC2700MA,,,99.0,100.0,,,,,,90.0,,,,,2024-03-15,2700.0,CALL,GGAL
GFGC2800MA,,,,,,,,,,55.0,,,,,2024-03-15,2800.0,CALL,GGAL
GFGC700.AB,9.0,1.695,2200.0,2.0,,,,,,1675.1,,,,,2024-04-19,700.0,CALL,GGAL
GFGV700.AB,35.0,0.28,,,,,,,,0.294,,,,,2024-04-19,700.0,PUT,GGAL
GFGC770.AB,1.0,0.6,,,,,,,,1750.0,,,,,2024-04-19,770.0,CALL,GGAL
GFGC800.AB,,,,,1615.0,0.31,1615.0,1615.0,1615.0,1610.0,161500.0,1.0,1.0,2024-02-22 11:40:01,2024-04-19,800.0,CALL,GGAL
GFGV800.AB,49.0,0.27,0.33,20.0,0.27,-6.89,0.27,0.27,0.27,0.29,27.0,1.0,1.0,2024-02-22 11:43:55,2024-04-19,800.0,PUT,GGAL
GFGC1250AB,,,1419.9,4.0,,,,,,1370.0,,,,,2024-04-19,1250.0,CALL,GGAL
GFGV1250AB,35.0,0.29,0.4,200.0,,,,,,0.4,,,,,2024-04-19,1250.0,PUT,GGAL
GFGC1300AB,,,,,,,,,,1224.478,,,,,2024-04-19,1300.0,CALL,GGAL
GFGV1300AB,200.0,0.22,0.44,7.0,0.21,-49.51,0.44,0.44,0.2,0.416,240.0,9.0,5.0,2024-02-22 11:49:47,2024-04-19,1300.0,PUT,GGAL
GFGC1350AB,,,,,1200.0,0.84,1200.0,1200.0,1200.0,1190.0,240000.0,2.0,1.0,2024-02-22 11:25:10,2024-04-19,1350.0,CALL,GGAL
GFGV1350AB,10.0,0.21,0.35,30.0,0.35,-23.74,0.25,0.38,0.25,0.459,2954.0,104.0,17.0,2024-02-22 12:01:59,2024-04-19,1350.0,PUT,GGAL
GFGC1400AB,,,,,,,,,,1157.75,,,,,2024-04-19,1400.0,CALL,GGAL
GFGV1400AB,964.0,0.31,0.58,13.0,0.31,-40.95,0.59,0.59,0.3,0.525,2703.0,78.0,15.0,2024-02-22 11:50:43,2024-04-19,1400.0,PUT,GGAL
GFGC1450AB,,,1197.396,2.0,,,,,,1150.0,,,,,2024-04-19,1450.0,CALL,GGAL
GFGV1450AB,954.0,0.4,0.64,6.0,0.41,-33.0,0.4,0.4,0.4,0.612,1840.0,46.0,6.0,2024-02-22 11:50:15,2024-04-19,1450.0,PUT,GGAL
GFGC1500AB,,,,,,,,,,1000.0,,,,,2024-04-19,1500.0,CALL,GGAL
GFGV1500AB,5.0,0.55,0.99,29.0,0.55,-42.94,0.99,0.99,0.51,0.964,11011.0,209.0,23.0,2024-02-22 11:50:50,2024-04-19,1500.0,PUT,GGAL
GFGC1570AB,,,,,,,,,,970.0,,,,,2024-04-19,1570.0,CALL,GGAL
GFGV1570AB,76.0,0.9,1.24,1.0,0.9,-18.18,0.9,0.9,0.9,1.1,1620.0,18.0,5.0,2024-02-22 12:01:59,2024-04-19,1570.0,PUT,GGAL
GFGC1640AB,6.0,800.0,1029.0,1.0,800.0,0.93,800.0,800.0,800.0,792.599,80000.0,1.0,1.0,2024-02-22 11:09:06,2024-04-19,1640.0,CALL,GGAL
GFGV1640AB,12.0,1.0,1.82,18.0,1.82,23.55,1.82,1.82,1.82,1.473,5460.0,30.0,7.0,2024-02-22 11:58:47,2024-04-19,1640.0,PUT,GGAL
GFGC1710AB,,,952.102,2.0,,,,,,881.986,,,,,2024-04-19,1710.0,CALL,GGAL
GFGV1710AB,100.0,1.0,2.25,28.0,1.5,-33.33,2.25,2.25,1.5,2.25,5250.0,24.0,9.0,2024-02-22 12:01:16,2024-04-19,1710.0,PUT,GGAL
GFGC1780AB,6.0,705.1,898.77,2.0,,,,,,702.57,,,,,2024-04-19,1780.0,CALL,GGAL
GFGV1780AB,20.0,2.1,3.8,25.0,2.201,-38.81,2.0,2.201,2.0,3.597,6535.0,32.0,6.0,2024-02-22 11:50:15,2024-04-19,1780.0,PUT,GGAL
GFGC1860AB,,,837.867,2.0,,,,,,670.0,,,,,2024-04-19,1860.0,CALL,GGAL
GFGV1860AB,22.0,3.002,5.5,7.0,,,,,,5.007,,,,,2024-04-19,1860.0,PUT,GGAL
GFGC1940AB,4.0,630.15,724.072,2.0,,,,,,628.333,,,,,2024-04-19,1940.0,CALL,GGAL
GFGV1940AB,20.0,5.001,7.999,5.0,5.001,-34.48,5.001,5.001,5.001,7.633,1000.0,2.0,1.0,2024-02-22 12:02:46,2024-04-19,1940.0,PUT,GGAL
GFGC2020AB,28.0,620.0,680.0,2.0,620.0,10.32,625.0,625.0,620.0,562.0,436500.0,7.0,2.0,2024-02-22 12:01:59,2024-04-19,2020.0,CALL,GGAL
GFGV2020AB,3.0,7.61,9.98,69.0,7.6,-32.39,10.0,10.0,7.6,11.241,29926.0,35.0,13.0,2024-02-22 12:00:08,2024-04-19,2020.0,PUT,GGAL
GFGC2100AB,1.0,570.0,575.0,1.0,566.709,17.47,500.0,566.709,500.0,482.4,818678.0,16.0,6.0,2024-02-22 12:01:07,2024-04-19,2100.0,CALL,GGAL
GFGV2100AB,20.0,13.0,14.0,93.0,13.5,-25.99,17.5,17.5,13.0,18.241,273997.0,192.0,37.0,2024-02-22 12:02:46,2024-04-19,2100.0,PUT,GGAL
GFGC2200AB,,,600.0,5.0,,,,,,403.041,,,,,2024-04-19,2200.0,CALL,GGAL
